Player,Age,AV,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Pro-Bowl
Cadillac Williams,22,29,5-11,217,4.43,35.5,19,118,6.94,4.15,N
Darren Sproles,21,80,5-6,187,4.47,33,23,105,6.96,3.96,Y
Eric Shelton,21,0,6-1,246,4.53,38.5,,124,7.44,4.08,N
Alvin Pearman,22,5,5-9,208,4.63,34,24,114,7.06,4.08,N
Vernand Morency,25,8,5-10,212,4.66,33.5,19,108,7.02,4.12,N
Ryan Moats,22,7,5-8,210,4.46,36,19,117,7.22,4.1,N
Brandon Jacobs,22,41,6-4,267,4.56,37,19,118,7.53,4.46,N
Cedric Houston,22,5,5-11,225,4.61,,,,,,N
Noah Herron,22,3,5-11,224,4.6,31,17,108,6.95,3.97,N
Alex Haynes,23,0,5-10,223,4.51,32.5,21,,,,N
Kay-Jay Harris,25,0,6-0,241,4.56,38,,122,7.2,4.1,N
Ryan Grant,22,38,6-1,215,4.43,33.5,17,115,7.08,4.12,N
Frank Gore,21,129,5-9,217,4.58,,,,,,Y
Lionel Gates,22,0,6-0,222,4.6,36,23,121,7.17,4.1,N
Ciatrick Fason,22,1,6-1,207,4.58,,,,,,N
DeAndra Cobb,23,0,5-10,196,4.49,34,17,118,7.13,4.25,N
Ronnie Brown,23,48,6-0,233,4.43,34,18,117,7.1,4.08,Y
Nehemiah Broughton,22,0,5-11,250,4.59,30,25,108,7.54,4.28,N
Cedric Benson,22,39,5-10,222,4.62,,,,,,N
Marion Barber,21,45,5-11,221,4.49,40,20,127,,,Y
J.J. Arrington,22,12,5-9,214,4.4,35,18,121,6.81,4.1,N
Jason Wright,21,10,5-10,210,4.68,30,,111,7.35,4.12,N
Quincy Wilson,22,0,5-9,225,4.6,33.5,26,118,7.68,4.36,N
Shaud Williams,23,3,5-7,193,4.73,34,15,114,7.01,4.15,N
Michael Turner,22,62,5-10,237,4.49,31,22,114,7.5,4.15,Y
Chris Perry,22,9,6-0,224,4.56,,19,,,,N
Jarrett Payton,23,1,6-0,220,4.66,31,,115,7.34,4.31,N
Mewelde Moore,21,33,5-11,209,4.65,35,,118,7.05,4.12,N
Kevin Jones,21,29,6-0,227,4.38,38,,120,,,N
Julius Jones,22,43,5-10,217,4.47,37.5,,121,6.97,4.12,N
Greg Jones,22,10,6-1,249,4.55,,,,,,N
Steven Jackson,20,92,6-1,241,4.55,,,,,,Y
Adimchinobi Echemandu,23,1,5-11,226,4.58,,15,,,,N
Cedric Cobbs,23,0,6-0,223,4.75,40,,123,,,N
Ran Carthon,23,0,5-11,224,4.51,34.5,22,112,,4.12,N
Tatum Bell,23,23,5-11,212,4.37,38.5,25,117,,,N
Rich Alexis,22,0,6-0,210,4.64,32,,114,7.41,4.43,N
LaBrandon Toefield,22,5,5-11,233,4.6,,19,,,,N
Lee Suggs,22,8,6-0,202,4.44,,,,,,N
Onterrio Smith,22,14,5-10,220,4.48,,19,,,,N
