Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2020,Cody White,WR,,,Michigan State,College Stats,6-3,217,4.66,35.5,,120,7.19,4.52,
2,2020,Quez Watkins,WR,,,Southern Miss,College Stats,6-0,185,4.35,36.5,,125,7.28,4.36,
3,2020,Ben Victor,WR,,,Ohio State,College Stats,6-4,198,4.6,35,9,128,7.1,,
4,2020,Jeff Thomas,WR,,,Miami,College Stats,5-9,170,4.45,36.5,,125,,,
5,2020,Freddie Swain,WR,,,Florida,College Stats,6-0,197,4.46,36.5,16,124,7.05,4.26,
6,2020,Laviska Shenault Jr.,WR,21,,Colorado,College Stats,6-1,227,4.58,,17,,,,Jacksonville Jaguars / 2nd / 42nd pick / 2020
7,2020,Henry Ruggs III,WR,21,,Alabama,College Stats,5-11,188,4.27,42,,131,,,Las Vegas Raiders / 1st / 12th pick / 2020
8,2020,Kendrick Rogers,WR,,,Texas A&M,College Stats,6-4,208,4.51,35.5,17,124,7.13,4.48,
9,2020,Joe Reed,WR,,,Virginia,College Stats,6-0,224,4.47,38,21,123,,,
10,2020,Jalen Reagor,WR,21,,TCU,College Stats,5-11,206,4.47,42,17,138,7.31,4.46,Philadelphia Eagles / 1st / 21st pick / 2020
11,2020,Michael Pittman,WR,22,,USC,College Stats,6-4,223,4.52,36.5,13,121,6.96,4.14,Indianapolis Colts / 2nd / 34th pick / 2020
12,2020,Malcolm Perry,WR,,,Navy,College Stats,5-9,186,4.63,36,10,122,7.12,4.31,
13,2020,Donovan Peoples-Jones,WR,,,Michigan,College Stats,6-2,212,4.48,44.5,,139,,,
14,2020,Dezmon Patmon,WR,,,Washington State,College Stats,6-4,225,4.48,36,15,132,7.28,4.38,
15,2020,Aaron Parker,WR,,,Rhode Island,,6-2,209,4.57,26.5,12,112,6.94,4.23,
16,2020,K.J. Osborn,WR,,,Miami,College Stats,5-11,203,4.48,37.5,18,123,7,4.35,
